Fecha,CantidadML,Moneda
"Oct 10, 1951",362.42ml,USD 5784.53
04/13/1972,483.05L,£958.43
09-07-1993,889.07L,GBP 5586.56
"Ago 15, 1958",1963.75ml,USD 9928.01
"30, Diciembre, 1955",1009.03L,€393.35
"Ago 31, 2014",851.34L,$1038.96
"24, Diciembre, 1916",1675.29ml,GBP 5491.4
08/13/1929,1838.26ml,£4512.89
19-02-2011,736.33ml,¥9358.34
02-12-1913,587.3ml,$1775.69
"12, Mayo, 1983",1523.29L,£4623.03
"Ago 18, 1935",96.81ml,JPY 4481.12
28-02-1902,1694.91L,€7105.17
"28, Julio, 2025",1453.18L,£2921.58
"20, Oct, 2010",1266.1L,USD 4692.64
20-08-2002,1496.13L,¥3787.86
07/30/1907,1814.29L,€3997.45
"Febrero 27, 1946",1706.03ml,USD 514.8
"Ago 3, 2015",129.28L,£1885.97
10/14/1981,188.58L,EUR 2617.56
12-03-1935,674.1ml,EUR 7343.47
02-03-1911,321.56ml,EUR 8150.57
2015-03-29,295.26ml,USD 1947.58
1913-09-06,687.97L,£222.75
"Mar 9, 1950",1631.23L,JPY 8560.06
09/17/1993,1082.13L,£8038.76
"3, Oct, 1980",1445.72L,EUR 1742.3
30-10-1920,1224.19L,€4016.08
"8, Dic, 1902",822.61L,€5606.25
20-04-1978,665.77L,$8735.49
01/25/1927,659.13L,£3140.84
04/23/1945,1360.87ml,EUR 5360.83
"3, Octubre, 1961",1294.56L,JPY 4983.17
20-04-1913,1678.19ml,USD 6474.89
"Feb 25, 1957",1584.25ml,£8854.43
1951-09-17,1637.32ml,EUR 5163.36
"12, Sep, 1965",1412.32ml,EUR 403.33
08/02/1958,1911.64L,$7856.72
"Jul 17, 1989",860.65L,$4228.27
1974-11-19,1285.64ml,GBP 4958.19
2009-07-31,1628.07L,GBP 2724.07
01/29/1982,449.15L,EUR 9807.02
"13, Nov, 1925",1196.19ml,€4879.81
1905-10-20,401.59ml,$2513.23
11/07/1996,1181.32ml,€5271.57
11/18/1920,1229.5L,€3111.47
1906-05-12,767.88ml,£5816.53
1989-05-27,1866.99ml,GBP 9498.08
1912-06-12,1944.52L,¥7780.11
"2, Octubre, 1947",599.56L,$6589.4
24-01-1911,473.6ml,EUR 3828.5
07/10/1970,1334.07ml,$7393.88
31-10-2021,1911.73ml,USD 9287.23
30-02-1985,729.5L,¥6608.52
"19, Marzo, 1933",322.27L,£11.9
"Oct 16, 1901",712.23ml,$9029.97
1931-04-10,657.85L,£2986.69
01/05/2008,1727.84L,USD 6563.19
"Dic 8, 1936",1795.84ml,USD 9972.79
"Feb 26, 1956",375.12L,¥8884.54
12/09/1971,1374.43L,USD 4001.25
09/18/2019,296.83L,¥3540.76
"Nov 27, 1983",1899.19L,$8999.19
30-08-1926,1783.55L,€8706.63
1906-12-22,596.32ml,USD 3682.66
"23, Septiembre, 1928",891.25L,$1062.83
"4, Octubre, 1987",1710.57L,USD 7645.23
15-11-1982,145.63ml,€9839.57
05/16/2001,528.33ml,€7222.38
1975-10-17,1401.9ml,€5539.11
1994-09-05,540.99L,$2159.21
1993-12-20,202.11L,EUR 847.03
1959-04-20,1755.92ml,JPY 3037.61
12-12-2013,1540.68ml,EUR 7852.38
1965-06-21,1365.77L,JPY 7726.13
1991-08-09,1831.67ml,GBP 7421.07
"Ago 23, 1928",323.43ml,¥4311.44
03/08/1922,465.03L,USD 1444.21
09-09-1929,1235.93L,EUR 7160.07
"9, Sep, 1979",1450.67ml,¥5180.11
01/30/2000,1870.15ml,$6601.13
1976-02-01,1324.0ml,£248.7
07/03/1913,1889.89ml,EUR 44.01
26-05-1938,1126.07ml,£6055.45
"25, Mar, 1974",615.53ml,€9219.39
"Nov 15, 1935",1461.23L,£3898.73
23-09-1901,1996.77L,JPY 2093.41
09/28/1902,995.15L,£1821.02
07/28/1910,210.04ml,€4502.23
07/27/1920,840.31ml,$3624.76
2020-01-03,1096.81ml,¥3741.2
1914-01-31,624.14ml,€7736.09
2021-07-15,1236.34L,$6109.04
"Ene 7, 2012",1509.51L,JPY 4963.7
"Agosto 9, 1909",1842.33L,¥4084.8
"Julio 18, 2014",700.61ml,€1541.57
1937-04-21,892.3L,£9689.6
09/03/1936,650.39L,USD 7059.39
"16, Ago, 1968",367.62ml,£4895.4
07/18/1997,1684.22ml,USD 2443.75
"Jun 14, 1966",1185.52L,$1907.19
06/09/2002,1942.21ml,USD 9531.57
21-06-2013,1225.14ml,GBP 7560.78
"13, Nov, 1988",1655.31L,JPY 4932.02
"13, Jul, 1956",1340.27L,£3013.17
"6, Abr, 1949",635.49L,£4023.48
09/31/1985,222.56L,EUR 7875.04
"Septiembre 13, 1903",555.29L,JPY 6789.57
"10, Feb, 1912",1001.29L,€1497.03
1959-11-09,226.52L,EUR 4187.83
"23, Julio, 1964",215.68ml,EUR 7609.6
1977-12-19,666.44ml,GBP 9280.77
1992-03-28,280.83ml,¥3355.67
"20, Abr, 1999",1388.67ml,$1489.1
06/02/1985,1699.47L,GBP 4628.56
24-06-1973,949.01L,$7045.23
2019-05-13,269.63L,GBP 8651.55
1923-03-09,886.85L,$2573.25
"Abril 27, 1937",535.59ml,EUR 7520.5
"14, Sep, 2024",901.91L,GBP 2604.27
"16, Ene, 1987",391.68L,¥8026.97
1935-11-18,19.1ml,GBP 2283.56
16-07-2017,1174.62L,€3782.27
14-02-1991,1714.23ml,EUR 3844.42
05/01/1923,40.22ml,$2500.13
22-06-2005,838.38L,$8757.55
"31, May, 1976",1503.86L,£5993.16
09-04-1924,254.11ml,€6687.51
30-07-1922,36.24L,GBP 2207.82
"23, Dic, 1939",383.33ml,USD 5464.28
11-11-1995,1399.57L,$4804.48
09/22/1967,1425.4ml,£7261.87
"23, Marzo, 1992",1658.4ml,GBP 4625.19
1925-04-21,1878.23L,£2188.61
07/27/1981,1922.42ml,EUR 1249.76
17-09-2018,1442.73ml,£1274.87
01/22/2019,1618.83L,GBP 4912.25
"Ago 2, 1950",420.23ml,£2550.5
"May 11, 1910",1213.74ml,£2858.86
1914-10-02,1742.95ml,£7771.64
"Jul 24, 1914",5.14L,EUR 5553.19
2025-07-13,1378.39L,$4638.43
"Abr 6, 2021",552.08L,€2063.28
